Number,City,Gender,Age,Income,Illness
116407,Boston,Female,57,87004,No
116408,Boston,Male,60,93196,No
116409,Boston,Male,25,112492,No
116410,Boston,Male,28,91910,No
116411,Boston,Female,51,85497,No
116412,Boston,Male,41,100492,Yes
116413,Boston,Male,45,89471,No
116414,Boston,Female,61,84864,No
116415,Boston,Male,26,103099,No
116416,Boston,Male,27,90038,No
116417,Boston,Female,25,75494,No
116418,Boston,Male,46,78287,No
116419,Boston,Female,31,79864,No
116420,Boston,Male,46,99881,Yes
116421,Boston,Male,63,90580,No
116422,Boston,Female,36,90379,No
116423,Boston,Male,37,93350,No
116424,Boston,Male,48,93105,No
116425,Boston,Male,29,79648,No
116426,Boston,Female,63,86329,No
116427,Boston,Male,54,98910,No
116428,Boston,Female,38,85664,No
116429,Boston,Male,54,113687,No
116430,Boston,Male,55,79977,No
116431,Boston,Male,33,71496,No
116432,Boston,Male,62,121610,No
116433,Boston,Male,31,95504,Yes
116434,Boston,Male,38,87072,No
116435,Boston,Male,57,96046,Yes
116436,Boston,Male,46,85160,No
116437,Boston,Male,46,107591,No
116438,Boston,Female,46,85654,No
116439,Boston,Male,48,91355,No
116440,Boston,Female,40,79351,No
116441,Boston,Male,64,94338,No
116442,Boston,Male,37,94710,No
116443,Boston,Male,55,102211,Yes
116444,Boston,Female,58,89970,No
116445,Boston,Male,58,86735,No
116446,Boston,Male,61,103946,No
116447,Boston,Male,56,85159,No
116448,Boston,Female,56,84015,No
116449,Boston,Male,64,91337,Yes
116450,Boston,Female,35,75294,No
116451,Boston,Female,45,94819,No
116452,Boston,Female,46,82394,No
116453,Boston,Male,61,96365,No
116454,Boston,Female,58,83325,No
116455,Boston,Female,47,87591,Yes
116456,Boston,Female,32,89177,No
116457,Boston,Male,33,81095,No
116458,Boston,Male,28,95209,Yes
116459,Boston,Female,34,89304,No
116460,Boston,Female,28,75398,No
116461,Boston,Male,29,92624,Yes
116462,Boston,Male,30,97499,No
116463,Boston,Female,26,85581,No
116464,Boston,Male,63,90657,No
116465,Boston,Female,42,105722,No
116466,Boston,Male,34,94432,No
116467,Boston,Female,60,75504,No
116468,Boston,Female,38,76753,No
116469,Boston,Male,44,86448,No
116470,Boston,Male,32,89665,No
116471,Boston,Male,55,107832,No
